"Site","Year","BandNo1","BandNo2","Outcome","Laying","Hatching","Fledge","AgeMale","AgeFemale","AgeBird1","AgeBird2","ExpMale","ExpFemale","ExpBird1","ExpBird2","PairBond","QLTY"
"D1",2006,"99687032","99601920","SAME",45,48,1,8,21,8,21,2,15,2,15,2,0.428571428571429
"D1",1992,"99604489","99651_67","DEAD",28,NA,0,8,NA,8,NA,NA,NA,NA,NA,NA,0.428571428571429
"D1",2005,"99687032","99601920","SAME",18,51,0,7,20,7,20,1,14,1,14,1,0.428571428571429
"D1",1999,"99604489","99601920","DEAD",19,50,1,15,14,15,14,NA,8,NA,8,6,0.428571428571429
"D1",1991,"99604489","99651363","DEAD",25,NA,0,7,7,7,7,NA,NA,NA,NA,NA,0.428571428571429
"D1",1994,"99604489","99601920","SAME",22,54,0,10,9,10,9,NA,3,NA,3,1,0.428571428571429
"D1",1990,"99604489","99651363","SAME",28,63,1,6,6,6,6,NA,NA,NA,NA,NA,0.428571428571429
"D1",1995,"99604489","99601920","SAME",14,39,1,11,10,11,10,NA,4,NA,4,2,0.428571428571429
"D1",1997,"99604489","99601920","SAME",17,50,0,13,12,13,12,NA,6,NA,6,4,0.428571428571429
"D1",1998,"99604489","99601920","SAME",19,51,1,14,13,14,13,NA,7,NA,7,5,0.428571428571429
"D1",2007,"99687032","99601920","DEAD",44,56,1,9,22,9,22,3,16,3,16,3,0.428571428571429
"D1",1996,"99604489","99601920","SAME",19,52,1,12,11,12,11,NA,5,NA,5,3,0.428571428571429
"D1",1993,"99604489","99601920","SAME",47,57,1,9,8,9,8,NA,2,NA,2,0,0.428571428571429
"D1",2004,"99687032","99601920","SAME",23,53,1,6,19,6,19,0,13,0,13,0,0.428571428571429
"D2",1995,"99604491","99652507","SAME",22,56,1,11,10,11,10,NA,NA,NA,NA,NA,0.7
"D2",1993,"99604491","99652507","SAME",47,NA,0,9,8,9,8,NA,NA,NA,NA,NA,0.7
"D2",1990,"99604491","99652507","SAME",19,47,1,6,5,6,5,NA,NA,NA,NA,NA,0.7
"D2",1994,"99604491","99652507","SAME",19,51,1,10,9,10,9,NA,NA,NA,NA,NA,0.7
"D2",1991,"99604491","99652507","SAME",22,NA,0,7,6,7,6,NA,NA,NA,NA,NA,0.7
"D2",1992,"99604491","99652507","SAME",27,57,1,8,7,8,7,NA,NA,NA,NA,NA,0.7
"D2",1996,"99604491","99652507","DEAD",32,68,1,12,11,12,11,NA,NA,NA,NA,NA,0.7
"D3",1993,"99654146","99606303","DIV",18,51,1,7,11,7,11,2,NA,2,NA,2,0.789473684210526
"D3",1992,"99654146","99606303","SAME",24,57,1,6,10,6,10,1,NA,1,NA,1,0.789473684210526
"D3",1991,"99654146","99606303","SAME",24,73,NA,5,9,5,9,0,NA,0,NA,0,0.789473684210526
