"Estimate","Adjusted SE","2.5 %","97.5 %"
"cond((Int))",-2.37654554430441,0.267847305220754,-2.90151661589319,-1.85157447271562
"cond(stdAgeMale)",-1.63830996348084,0.50783613993434,-2.63365050779999,-0.642969419161686
"cond(stdAgeFemale)",-1.04509620196434,0.464328963066908,-1.95516424655431,-0.135028157374376
"cond(stdQlty)",-0.898738070559889,0.388463489831484,-1.66011251993834,-0.137363621181439
"cond(stdFledge)",-0.739695511122625,0.456020223383756,-1.6334787251767,0.154087702931447
"cond(stdAgeMale:stdQlty)",-0.926596283856499,0.88973267026599,-2.67044027344649,0.817247705733492
"cond(stdAgeFemale:stdAgeMale)",-0.273594187949594,1.10366288565004,-2.43673369489723,1.88954531899804
"cond(stdExpMale)",-1.50814398195699,0.517139992863803,-2.52171974293535,-0.494568220978639
"cond(stdAgeMale:stdFledge)",0.975458431918693,1.17468124643186,-1.32687450440236,3.27779136823975
"cond(stdLaying)",0.639833337812082,0.469220077154795,-0.279821114234423,1.55948778985859
"cond(stdExpMale:stdQlty)",-0.733687527978819,0.883995393379298,-2.46628666150156,0.998911605543922
"cond(stdExpFemale)",-1.0060278019756,0.463600062290185,-1.91466722729489,-0.0973883766563097
"cond(stdAgeMaleSq)",-1.03724798561363,1.20089387472476,-3.39095672932891,1.31646075810165
"cond(stdAgeMale:stdLaying)",-0.454321641686809,1.04611707306789,-2.50467342851233,1.59603014513871
"cond(stdPairBond)",-0.429182070742021,0.560453619076644,-1.52765097913737,0.669286837653332
"cond(stdExpMale:stdFledge)",1.05277020924508,1.18794430722207,-1.27555784854955,3.38109826703972
