"Estimate","Adjusted SE","2.5 %","97.5 %"
"cond((Int))",-2.37643481138394,0.270039140752684,-2.90570180167534,-1.84716782109253
"cond(stdAgeMale)",-1.63957682786537,0.509561996285344,-2.63829998847498,-0.640853667255762
"cond(stdAgeFemale)",-1.06484398988369,0.475399092862766,-1.99660909017773,-0.133078889589657
"cond(stdQlty)",-0.898738070559889,0.388463489831484,-1.66011251993834,-0.137363621181439
"cond(stdFledge)",-0.74422050564227,0.455194904204911,-1.63638612383006,0.147945112545515
"cond(stdAgeMale:stdQlty)",-0.926596283856499,0.88973267026599,-2.67044027344649,0.817247705733492
"cond(stdAgeFemale:stdAgeMale)",-0.273594187949594,1.10366288565004,-2.43673369489723,1.88954531899804
"cond(stdExpMale)",-1.50960929626519,0.51867586738142,-2.52619531598285,-0.493023276547534
"cond(stdAgeMale:stdFledge)",0.975458431918693,1.17468124643186,-1.32687450440236,3.27779136823975
"cond(stdLaying)",0.70010497157446,0.487756579943821,-0.255880358337861,1.65609030148678
"cond(stdExpMale:stdQlty)",-0.733687527978819,0.883995393379298,-2.46628666150156,0.998911605543922
"cond(stdExpFemale)",-1.03028699180599,0.481000289158093,-1.97303023510921,-0.0875437485027771
"cond(stdAgeMaleSq)",-1.03724798561363,1.20089387472476,-3.39095672932891,1.31646075810165
"cond(stdAgeMale:stdLaying)",-0.454321641686809,1.04611707306789,-2.50467342851233,1.59603014513871
"cond(stdPairBond)",-0.433100578377018,0.560672330095343,-1.53199815249204,0.665796995738006
"cond(stdExpMale:stdFledge)",1.05277020924508,1.18794430722207,-1.27555784854955,3.38109826703972
"cond(stdAgeMale:stdPairBond)",-1.29404667675419,1.36476156418784,-3.9689301900469,1.38083683653853
"cond(stdExpFemale:stdExpMale)",-0.478553580561902,1.14417536805863,-2.72109609395467,1.76398893283086
"cond(stdAgeFemale:stdLaying)",1.22943119015076,1.01927795905818,-0.76831689983876,3.22717928014028
