"Estimate","Adjusted SE","2.5 %","97.5 %"
"cond((Int))",-1.69836603361294,0.240119840018478,-2.16899227202267,-1.2277397952032
"cond(stdExpMale)",-0.640807326262562,0.359271310089534,-1.34496615471657,0.0633515021914471
"cond(stdExpFemale)",-0.802443393711546,0.354952077820276,-1.49813668247695,-0.106750104946146
"cond(stdFledge)",-0.454574597208918,0.292703728666757,-1.02826336353635,0.119114169118509
"cond(stdQlty)",-0.444904324396642,0.306947514304185,-1.04651039757694,0.156701748783653
"cond(stdExpFemale:stdExpMale)",0.381585483646741,0.568846130040908,-0.733332443978426,1.49650341127191
"cond(stdExpFemale:stdFledge)",-0.068671698052265,0.728987544234235,-1.49746102992966,1.36011763382513
"cond(stdExpFemaleSq)",-0.201102076151426,0.567176819745633,-1.31274821571883,0.910544063415981
"cond(stdLaying)",0.0969191190472339,0.317411334230299,-0.525195664328957,0.719033902423425
"cond(stdPairBond)",-0.370205343629351,0.431994910260518,-1.21689980924458,0.476489121985877
"cond(stdExpFemale:stdQlty)",-0.376015945301155,0.586653526320213,-1.52583572829219,0.773803837689882
"cond(stdAgeFemale)",-0.612593058950351,0.322599232432945,-1.24487593595919,0.019689818058488
"cond(stdAgeMale)",-0.386532834936084,0.315137876065095,-1.00419172218812,0.23112605231595
"cond(stdExpMale:stdQlty)",-0.23932173002589,0.624997116789904,-1.46429356937548,0.985650109323697
"cond(stdPairBond:stdQlty)",-1.0474015525224,0.710821510404798,-2.44058611235217,0.345783007307367
"cond(stdExpFemale:stdLaying)",-0.307396393546302,0.597276731026618,-1.47803727516229,0.863244488069687
"cond(stdExpFemale:stdPairBond)",0.315047729786009,0.563722628349639,-0.789828319049541,1.41992377862156
"cond(stdAgeFemale:stdFledge)",-0.427384297098934,0.635379261562373,-1.67270476628484,0.817936172086972
"cond(stdExpMale:stdFledge)",0.170325437057739,0.682944480905749,-1.16822114895793,1.50887202307341
"cond(stdAgeFemale:stdQlty)",-0.523418291500648,0.556901665366604,-1.61492549854957,0.568088915548272
"cond(stdExpMaleSq)",0.143033878683484,0.579090613170857,-0.991962866916612,1.27803062428358
"cond(stdYear)",-0.609098038261114,0.386676807204548,-1.36697065403897,0.148774577516738
"cond(stdAgeFemaleSq)",0.170515927895211,0.525004734335644,-0.85847444311567,1.19950629890609
"cond(stdAgeFemale:stdAgeMale)",0.486927050418784,0.535583305939118,-0.562796939942784,1.53665104078035
"cond(stdFledge:stdPairBond)",-0.715928801298077,0.695586262179238,-2.07925282331022,0.647395220714065
"cond(stdLaying:stdQlty)",1.04577437564959,0.567748719044552,-0.0669926659464777,2.15854141724567
"cond(stdAgeMale:stdQlty)",-0.683462057949575,0.535000627999932,-1.73204402053575,0.365119904636602
"cond(stdExpMale:stdPairBond)",0.369750137295072,0.583478009934197,-0.773845747947059,1.5133460225372
