"Band","Year","Site","Sex","Age","Exp","AgeDead","ExpDead","QltyDead","LayingDead","FledgDead","AgeDiff","ExpDiff","QltyDiff","Moved","LayingDiff","FledgeDiff"
"99695647",2009,"Q4","F",10,4,8,3,0.578947368421053,24,1,NA,NA,NA,NA,NA,NA
"99663860",1995,"Q5","M",5,0,7,0,0.25,22,1,-1,1,0,"NO",-3,-1
"99685510",2007,"Q11","M",7,2,5,0,0.45,43,1,1,1,0,"NO",-14,0
"99601685",2003,"Q11","F",18,12,17,12,0.45,30,1,NA,NA,0,"NO",16,-1
"99659564",2009,"Q13","M",21,16,18,13,0.722222222222222,28,1,-12,-12,2.22044604925031e-16,"NO",17,0
"99659563",1999,"Q17","M",11,6,8,2,0.5,31,0,NA,NA,0,"NO",4,1
"99658352",2009,"Q19","F",17,1,14,9,0.571428571428571,23,1,NA,NA,4.44089209850063e-16,"NO",20,0
"99680539",2001,"Q21","M",5,0,8,3,0.625,24,1,NA,NA,0,"NO",1,0
"99656413",1993,"Q21","M",6,1,6,1,0.625,48,1,NA,NA,0,"NO",-25,NA
"99667193",2010,"Q22","M",19,14,13,8,0.473684210526316,43,1,-5,-5,-2.22044604925031e-16,"NO",NA,-1
"99667193",1999,"Q22","M",8,3,8,3,0.473684210526316,23,0,-2,-2,-2.22044604925031e-16,"NO",38,NA
"99656411",1997,"Q23","M",10,5,8,1,0.3,18,0,3,0,0,"NO",1,0
"99656411",2001,"Q23","M",14,9,13,3,0.3,23,1,-7,-2,0,"NO",9,0
"99679659",2006,"Q24","F",5,0,12,7,0.764705882352941,45,1,NA,NA,1.11022302462516e-16,"NO",-25,NA
"99671519",2003,"Q24","M",9,4,15,10,0.764705882352941,29,1,-9,-9,1.11022302462516e-16,"NO",16,0
"99608482",2001,"Q25","F",13,5,13,8,0.736842105263158,23,1,NA,NA,-1.11022302462516e-16,"NO",38,0
"99670888",2008,"Q26","F",15,10,11,4,0.904761904761905,44,1,NA,NA,-2.22044604925031e-16,"NO",-10,0
"99608586",2006,"Q29","M",18,13,19,13,0.842105263157895,45,0,-13,-12,-3.33066907387547e-16,"NO",-2,1
"99608586",2010,"Q29","M",22,17,8,3,0.842105263157895,43,1,NA,NA,-3.33066907387547e-16,"NO",2,-1
"99670825",2010,"Q31","M",17,12,22,19,1,43,1,-11,-13,0,"NO",2,0
"99676583",2002,"Q33","F",7,1,16,11,0.85,27,1,NA,NA,0,"NO",2,NA
"99670824",2002,"Q34","M",9,4,6,1,0.888888888888889,27,1,6,0,-1.11022302462516e-16,"NO",-6,0
"99697039",2010,"Q35","F",17,6,8,3,0.875,49,1,7,6,0,"NO",-4,NA
"99659407",2005,"Q35","F",12,1,8,3,0.875,47,1,NA,NA,0,"NO",-2,0
"99659567",1995,"Q36","M",7,2,8,4,0.7,19,1,NA,NA,0,"NO",2,-1
"99670890",2003,"Q36","F",10,5,15,10,0.7,29,1,NA,NA,0,"NO",-8,0
"99608518",2001,"Q37","F",13,10,20,10,0.857142857142857,25,1,NA,NA,1.11022302462516e-16,"NO",NA,NA
"99602107",1998,"Q37","M",17,7,10,5,0.857142857142857,23,1,2,4,1.11022302462516e-16,"NO",0,0
"99667159",2006,"Q42","M",15,10,11,5,0.722222222222222,45,1,NA,NA,2.22044604925031e-16,"NO",-1,NA
"99670889",2009,"Q43","F",16,11,19,11,0.722222222222222,19,0,NA,NA,2.22044604925031e-16,"NO",24,1
"118600235",2010,"Q43","M",5,0,17,12,0.722222222222222,43,1,-11,-11,2.22044604925031e-16,"NO",3,0
"99654150",1998,"Q44","M",12,7,5,0,0.611111111111111,19,1,NA,NA,1.11022302462516e-16,"NO",39,-1
"99697048",2010,"Q44","M",8,3,9,4,0.611111111111111,45,1,NA,NA,1.11022302462516e-16,"NO",2,-1
"99610277",2004,"Q47","M",21,13,20,13,0.947368421052632,21,1,-11,-12,-4.44089209850063e-16,"NO",25,0
"99607237",2000,"Q48","F",13,9,20,7,0.9,20,1,-13,-5,0,"NO",7,0
"99601001",1993,"Q48","M",13,0,5,0,0.9,49,1,4,5,0,"NO",-30,0
"99676604",2010,"Q49","F",15,10,10,5,0.75,43,1,NA,NA,0,"NO",NA,-1
"99660151",2003,"Q50","M",10,1,20,12,0.95,36,1,-7,-5,0,"NO",-13,0
"99608198",2001,"Q50","F",18,10,12,7,0.95,23,1,NA,NA,0,"NO",5,0
"99662573",2000,"Q51","F",11,6,12,7,0.6,25,0,-3,-3,0,"NO",-2,1
"118600081",2009,"Q51","M",1,1,20,15,0.6,26,1,NA,NA,0,"NO",19,0
"99662573",2004,"Q51","F",15,10,11,6,0.6,26,1,-1,-2,0,"NO",25,-1
"99679692",2006,"Q52","F",5,0,8,0,0.4,46,1,NA,NA,0.211111111111111,"YES",-1,0
"99670823",1999,"Q52","M",6,1,11,5,0.4,35,1,2,3,0.2,"YES",-12,0
"99659549",1997,"Q52","F",9,3,16,6,0.4,41,0,NA,NA,0,"NO",-20,0
"99679695",2008,"Q54","M",7,2,10,5,0.5,44,1,-4,-4,0,"NO",-19,0
"99687268",2003,"Q54","F",5,0,9,2,0.5,32,1,NA,NA,0,"NO",-8,0
"99680537",2010,"Q55","M",14,9,13,8,0.235294117647059,43,1,NA,NA,0.014705882352941,"YES",5,-1
"99606799",1998,"Q57","F",11,5,8,0,0.631578947368421,20,0,-2,1,0.309597523219814,"YES",28,1
"99656261",2007,"Q57","M",16,7,6,1,0.631578947368421,44,1,NA,NA,0,"NO",NA,NA
"99667197",2005,"Q59","F",14,9,26,14,0.842105263157895,46,1,NA,NA,-3.33066907387547e-16,"NO",-1,0
"99667197",2009,"Q59","F",18,13,8,3,0.842105263157895,20,1,NA,NA,-3.33066907387547e-16,"NO",23,0
"99604128",1992,"Q63","M",6,1,8,1,0.0625,31,0,5,3,0.826388888888889,"YES",16,0
"99680537",2004,"Q64","M",8,3,17,13,0.8,21,1,-4,-5,0.1,"YES",25,0
"99669962",2006,"Q65","F",9,3,6,1,0.75,46,1,6,0,0.25,"YES",-19,0
"99687398",2009,"Q79","M",6,0,15,2,0.454545454545455,26,1,NA,NA,-4.44089209850063e-16,"NO",24,NA
"118601180",2010,"Q84","M",6,1,6,1,0.4,44,1,NA,NA,0.1,"YES",2,NA
"99685518",2006,"QT13","M",6,1,5,0,0.571428571428571,47,1,NA,NA,4.44089209850063e-16,"NO",-3,0
"99676605",2009,"QT16","M",14,9,5,0,0.857142857142857,24,1,NA,NA,NA,NA,NA,NA
"99679693",2007,"QT18","F",6,1,9,4,0.5,46,1,NA,NA,0.25,"YES",-2,NA
"99659652",1998,"QBA1","F",10,5,8,3,0.666666666666667,26,1,NA,NA,NA,NA,NA,NA
